CUST_TYPE,C_FIRST_NM,C_MDL_NM,C_LAST_NM,C_GENDER,C_BIRTHDT,C_AGE,C_MARITAL,C_INCOME,C_SRC_CHNL,C_PREF_CHNL,C_CUST_STATUS,C_CUST_LFCYCL,C_EMP_STATUS,C_CRD_RTNG,C_ORG,C_OWN,C_ANN_REV,C_CITY,C_POSTAL,C_STATE,C_COUNTRY,CUST_CODE,C_INCOMEGRP
Individual,Jitesh,,Chheda,,26-Dec-74,31,Single,379700.5586,Direct Mailer,Web,Active,Mature,Employed,9,Andhra Bank,,1242483.067,Ahmedabad,215008,Gujarat,India,1,"3,00,000PA to 4,00,000PA"
Corporate,Champak,,Pabari,Male,17-Sep-68,37,Single,260709.7252,Direct Mailer,Web,Active,Mature,Employed,3,Nilkamal Plastics Limited,,1122425.328,Ahmedabad,215001,Gujarat,India,2,"2,00,000PA to 3,00,000PA"
NRI,Surendra,,Garg,Male,22-Sep-72,33,Single,498594.4487,Direct Mailer,Web,Inactive,Acquired,Employed,4,Sri Chakra Remedies Limited,,1339807.21,Baroda,213050,Gujarat,India,3,"4,00,000PA to 5,00,000PA"
Corporate,Aruna,,Garg,Male,17-Nov-71,34,Married,175189.163,Direct Mailer,Web,Active,Mature,Unemployed,3,Nidhi Polyester Limited,,1209560.78,Baroda,213013,Gujarat,India,4,"1,00,000PA to 2,00,000PA"
Individual,Pothen,,Kurien,Female,18-Apr-68,37,Single,272820.6229,Direct Mailer,Web,Active,Mature,Employed,9,Shubham Industries Limited,,1090320.134,Surat,210030,Gujarat,India,5,"2,00,000PA to 3,00,000PA"
NRI,Ajay,,Popat,Male,30-Dec-66,39,Single,254218.798,SMS,Telephone,Inactive,Acquired,Employed,7,India Sugars & Refineries Limited,,1282269.08,Surat,210012,Gujarat,India,6,"2,00,000PA to 3,00,000PA"
Individual,Sumit,,Bhagat,Male,06-May-68,37,Single,443833.3852,Direct Mailer,Web,Dormant,Prospect,Employed,3,Premier Explosives Limited,,1114000.622,Mangalore,130009,Karnataka,India,7,
Corporate,Meena,,Mehta,Male,21-Nov-71,34,Married,353533.7826,Direct Mailer,Web,Active,Attrition,Unemployed,8,·Computech International,,1494071.853,Mangalore,130040,Karnataka,India,8,"3,00,000PA to 4,00,000PA"
NRI,Jayantilal,,Mehta,Male,12-Aug-67,38,Single,498352.2097,Direct Mailer,Web,Inactive,Acquired,Self Employed,5,Kay Pulp & Paper Mills Limited,Public,1183022.044,Mysore,130010,Karnataka,India,9,"4,00,000PA to 5,00,000PA"
Corporate,Trupti,Pravin,Shah,Female,07-Jul-68,37,Single,232532.4128,Direct Mailer,Web,Active,Mature,Employed,4,S P B L Limited,,1391473.537,Mysore,110009,Karnataka,India,10,"2,00,000PA to 3,00,000PA"
Individual,Sunu,Elizabeth,Thomas,Male,11-Jun-71,34,Single,254548.5646,Direct Mailer,Web,Active,Mature,Employed,2,Global Capital Markets Limited,,1056859.597,Bangalore,110007,Karnataka,India,11,"2,00,000PA to 3,00,000PA"
NRI,Anila,Kiritkumar,Kamdar,Male,26-Oct-80,25,Married,290964.1718,SMS,Telephone,Inactive,Acquired,Unemployed,5,Damania Capital Markets Limited,,1497652.551,Bangalore,110001,Karnataka,India,12,"2,00,000PA to 3,00,000PA"
Individual,Amit,Kumar,Dey,Male,14-Dec-65,40,Single,127154.4868,Direct Mailer,Web,Active,Mature,Employed,6,Indian Hume Pipe Company Limited,,1411098.451,Pune,200009,Maharashtra,India,13,"1,00,000PA to 2,00,000PA"
